dt,AverageTemperature,Country
1991-08-01,23.282,Japan
1992-08-01,23.78,Japan
1993-08-01,22.171,Japan
1994-08-01,26.341,Japan
1995-08-01,25.213,Japan
1996-08-01,23.773000000000003,Japan
1997-08-01,23.822,Japan
1998-08-01,24.286,Japan
1999-08-01,25.547,Japan
2000-08-01,25.433000000000003,Japan
2001-08-01,23.882,Japan
2002-08-01,24.074,Japan
2003-08-01,23.393,Japan
2004-08-01,24.271,Japan
2005-08-01,25.111,Japan
2006-08-01,25.596,Japan
2007-08-01,25.51,Japan
2008-08-01,24.036,Japan
2009-08-01,23.674,Japan
2010-08-01,26.642,Japan
2011-08-01,25.001,Japan
2012-08-01,25.703000000000003,Japan
2013-08-01,25.669,Japan
1960-08-01,27.414,Philippines
1961-08-01,26.999,Philippines
1962-08-01,27.006,Philippines
1963-08-01,27.026,Philippines
1964-08-01,27.195,Philippines
1965-08-01,27.059,Philippines
1966-08-01,27.493,Philippines
1967-08-01,27.049,Philippines
1968-08-01,27.335,Philippines
1969-08-01,27.33,Philippines
1970-08-01,27.16,Philippines
1971-08-01,26.991,Philippines
1972-08-01,27.028,Philippines
1973-08-01,27.234,Philippines
1974-08-01,27.337,Philippines
1975-08-01,27.23,Philippines
1976-08-01,26.905,Philippines
1977-08-01,27.314,Philippines
1978-08-01,26.883000000000006,Philippines
1979-08-01,27.361,Philippines
1980-08-01,27.172,Philippines
1981-08-01,27.626,Philippines
1982-08-01,26.993,Philippines
1983-08-01,27.394,Philippines
1984-08-01,27.075,Philippines
1985-08-01,27.398000000000003,Philippines
1986-08-01,27.273000000000003,Philippines
1987-08-01,27.741,Philippines
1988-08-01,27.66,Philippines
1989-08-01,27.148000000000003,Philippines
1990-08-01,27.47300000000001,Philippines
1991-08-01,27.269,Philippines
1992-08-01,27.377,Philippines
1993-08-01,27.122,Philippines
1994-08-01,27.236,Philippines
1995-08-01,27.218000000000004,Philippines
1996-08-01,27.545,Philippines
1997-08-01,27.704,Philippines
1998-08-01,28.28700000000001,Philippines
1999-08-01,26.972,Philippines
2000-08-01,27.367,Philippines
2001-08-01,27.527,Philippines
2002-08-01,27.34800000000001,Philippines
2003-08-01,27.459,Philippines
2004-08-01,27.511000000000006,Philippines
2005-08-01,27.42,Philippines
2006-08-01,27.244,Philippines
2007-08-01,27.375,Philippines
2008-08-01,27.178,Philippines
2009-08-01,27.902,Philippines
2010-08-01,27.489,Philippines
2011-08-01,27.276,Philippines
2012-08-01,27.586,Philippines
2013-08-01,27.068,Philippines
1960-08-01,13.527,United Kingdom
1961-08-01,13.627,United Kingdom
1962-08-01,12.895,United Kingdom
1963-08-01,12.726,United Kingdom
1964-08-01,13.61,United Kingdom
1965-08-01,13.225,United Kingdom
1966-08-01,13.147,United Kingdom
1967-08-01,13.897,United Kingdom
1968-08-01,13.888,United Kingdom
1969-08-01,14.673,United Kingdom
1970-08-01,14.286,United Kingdom
1971-08-01,13.993,United Kingdom
1972-08-01,13.249,United Kingdom
1973-08-01,14.542,United Kingdom
1974-08-01,13.656,United Kingdom
1975-08-01,16.149,United Kingdom
1976-08-01,15.509,United Kingdom
1977-08-01,13.688,United Kingdom
1978-08-01,13.441,United Kingdom
1979-08-01,13.123,United Kingdom
1980-08-01,14.048,United Kingdom
1981-08-01,14.575,United Kingdom
1982-08-01,14.0,United Kingdom
1983-08-01,15.546,United Kingdom
1984-08-01,15.477,United Kingdom
1985-08-01,13.098,United Kingdom
1986-08-01,12.220999999999998,United Kingdom
1987-08-01,13.898,United Kingdom
1988-08-01,13.598,United Kingdom
1989-08-01,14.678,United Kingdom
1990-08-01,15.678,United Kingdom
1991-08-01,15.283,United Kingdom
1992-08-01,13.687,United Kingdom
1993-08-01,13.135,United Kingdom
1994-08-01,14.124,United Kingdom
1995-08-01,16.625999999999998,United Kingdom
1996-08-01,14.769,United Kingdom
1997-08-01,16.639,United Kingdom
1998-08-01,14.352,United Kingdom
1999-08-01,14.547,United Kingdom
2000-08-01,14.868,United Kingdom
2001-08-01,14.949000000000002,United Kingdom
2002-08-01,15.138,United Kingdom
2003-08-01,16.160999999999998,United Kingdom
2004-08-01,15.598,United Kingdom
2005-08-01,14.613,United Kingdom
2006-08-01,14.527,United Kingdom
2007-08-01,14.222,United Kingdom
2008-08-01,14.665,United Kingdom
2009-08-01,15.04,United Kingdom
2010-08-01,13.989,United Kingdom
2011-08-01,13.784,United Kingdom
2012-08-01,15.152,United Kingdom
2013-08-01,15.022,United Kingdom
1960-08-01,20.487,United States
1961-08-01,20.716,United States
1962-08-01,20.693,United States
1963-08-01,20.43,United States
1964-08-01,19.864,United States
1965-08-01,19.91,United States
1966-08-01,19.87,United States
1967-08-01,20.188,United States
1968-08-01,20.077,United States
1969-08-01,20.625,United States
1970-08-01,21.043000000000003,United States
1971-08-01,20.418,United States
1972-08-01,20.579,United States
1973-08-01,20.62,United States
1974-08-01,19.923,United States
1975-08-01,20.285,United States
1976-08-01,20.131,United States
1977-08-01,20.909,United States
1978-08-01,20.653,United States
1979-08-01,20.371,United States
1980-08-01,20.776,United States
1981-08-01,20.495,United States
1982-08-01,20.56,United States
1983-08-01,21.763,United States
1984-08-01,20.886,United States
1985-08-01,20.02,United States
1986-08-01,20.188,United States
1987-08-01,20.587,United States
1988-08-01,21.295,United States
1989-08-01,20.469,United States
1990-08-01,20.857,United States
1991-08-01,20.866,United States
1992-08-01,19.492,United States
1993-08-01,20.486,United States
1994-08-01,20.807,United States
1995-08-01,21.586,United States
1996-08-01,20.497,United States
1997-08-01,20.642,United States
1998-08-01,21.299,United States
1999-08-01,21.085,United States
2000-08-01,21.263,United States
2001-08-01,21.653,United States
2002-08-01,20.901,United States
2003-08-01,21.833,United States
2004-08-01,20.175,United States
2005-08-01,21.353,United States
2006-08-01,21.079,United States
2007-08-01,22.118,United States
2008-08-01,20.543000000000003,United States
2009-08-01,20.436,United States
2010-08-01,21.703000000000003,United States
2011-08-01,21.915,United States
2012-08-01,21.422,United States
2013-08-01,21.168000000000003,United States
1960-08-01,19.199,Zimbabwe
1961-08-01,17.307000000000002,Zimbabwe
1962-08-01,19.024,Zimbabwe
1963-08-01,17.842,Zimbabwe
1964-08-01,17.713,Zimbabwe
1965-08-01,18.532,Zimbabwe
1966-08-01,18.607,Zimbabwe
1967-08-01,17.387,Zimbabwe
1968-08-01,19.427,Zimbabwe
1969-08-01,18.531,Zimbabwe
1970-08-01,19.403,Zimbabwe
1971-08-01,19.061,Zimbabwe
1972-08-01,17.849999999999994,Zimbabwe
1973-08-01,17.923,Zimbabwe
1974-08-01,18.992,Zimbabwe
1975-08-01,17.34,Zimbabwe
1976-08-01,16.486,Zimbabwe
1977-08-01,18.258,Zimbabwe
1978-08-01,20.05,Zimbabwe
1979-08-01,19.245,Zimbabwe
1980-08-01,18.133,Zimbabwe
1981-08-01,18.561,Zimbabwe
1982-08-01,18.59,Zimbabwe
1983-08-01,17.538999999999998,Zimbabwe
1984-08-01,18.497,Zimbabwe
1985-08-01,18.412,Zimbabwe
1986-08-01,19.155,Zimbabwe
1987-08-01,19.133,Zimbabwe
1988-08-01,18.797,Zimbabwe
1989-08-01,19.424,Zimbabwe
1990-08-01,18.69,Zimbabwe
1991-08-01,19.468,Zimbabwe
1992-08-01,18.633,Zimbabwe
1993-08-01,18.726,Zimbabwe
1994-08-01,18.504,Zimbabwe
1995-08-01,20.496,Zimbabwe
1996-08-01,19.924,Zimbabwe
1997-08-01,19.545,Zimbabwe
1998-08-01,18.937,Zimbabwe
1999-08-01,18.943,Zimbabwe
2000-08-01,17.719,Zimbabwe
2001-08-01,20.432,Zimbabwe
2002-08-01,20.164,Zimbabwe
2003-08-01,18.834,Zimbabwe
2004-08-01,19.402,Zimbabwe
2005-08-01,21.185,Zimbabwe
2006-08-01,18.882,Zimbabwe
2007-08-01,18.991,Zimbabwe
2008-08-01,19.294,Zimbabwe
2009-08-01,18.465,Zimbabwe
2010-08-01,18.26,Zimbabwe
2011-08-01,17.883,Zimbabwe
2012-08-01,18.946,Zimbabwe
2013-08-01,19.759,Zimbabwe
